source_dataset,variable,unit,description,era,season,statistic
NASS Ag Census,nonwhite_led,operations,"producers, principal, hispanic - number of operations + producers, principal, american indian or alaska native - number of operations + producers, principal, asian - number of operations + producers, principal, black or african american - number of operations + producers, principal, native hawaiian or other pacific islander - number of operations + producers, principal, multi-race - number of operations + operators, principal, hispanic - number of operations + operators, principal, american indian or alaska native - number of operations + operators, principal, asian - number of operations + operators, principal, black or african american - number of operations + operators, principal, native hawaiian or other pacific islander - number of operations + operators, principal, multi-race - number of operations","2012, 2017",NA,NA
NASS Ag Census,organic_prods,operations,"farm operations, organic - number of operations organic status: (nop usda certified) + farm operations, organic - number of operations organic status: (nop usda exempt) + ag land, organic, transitioning - number of operations organic status: (transitioning)","2012, 2017",NA,NA
NASS Ag Census,pastured_cropland_acres,acres,"ag land, cropland, pastured only - acres","2012, 2017",NA,NA
NASS Ag Census,pastured_cropland_ops,operations,"ag land, cropland, pastured only - number of operations","2012, 2017",NA,NA
NASS Ag Census,pastured_other_acres,acres,"ag land, pastureland, (excl cropland & woodland) - acres","2012, 2017",NA,NA
NASS Ag Census,pastured_other_ops,operations,"ag land, pastureland, (excl cropland & woodland) - number of operations","2012, 2017",NA,NA
NASS Ag Census,pastured_woodland_acres,acres,"ag land, woodland, pastured - acres","2012, 2017",NA,NA
NASS Ag Census,pastured_woodland_ops,operations,"ag land, woodland, pastured - number of operations","2012, 2017",NA,NA
NASS Ag Census,tile_drainage_acres,acres,"practices, land use, drained by tile - acres + land drained by tile, acres, 2012","2012, 2017",NA,NA
NASS Ag Census,tile_drainage_acres_per_op,acres,"practices, land use, drained by tile - area, measured in acres / operation + land drained by tile, acres, avg per farm, 2012","2012, 2017",NA,NA
NASS Ag Census,tile_drainage_ops,operations,"practices, land use, drained by tile - number of operations + land drained by tile, farms, 2012","2012, 2017",NA,NA
NASS Ag Census,total_operating_expenses,dollars,"expense totals, operating - expense, measured in $ / operation","2012, 2017",NA,NA
NASS Ag Census,under_25,operations,"producers, principal, age lt 25 - number of producers + operators, principal, age lt 25 - number of operators","2012, 2017",NA,NA
American Community Survey,bachelors_or_higher,proportion,proportion of county population with bachelor's degree or higher as highest degree,"2012, 2017",NA,NA
American Community Survey,high_school_or_GED,proportion,proportion of county population with hs/ged as highest degree,"2012, 2017",NA,NA
American Community Survey,population,people,total county population,"2012, 2017",NA,NA
American Community Survey,some_college_or_associates,proportion,proportion of county population with some college or associates degree as highest degree,"2012, 2017",NA,NA
land grant university datasets,university_overall,name,name of closest land grant university,NA,NA,NA
land grant university datasets,closest_overall,km,distance from county centroid to closest land grant university,NA,NA,NA
land grant university datasets,university_in_state,name,name of closest in-state land grant university,NA,NA,NA
land grant university datasets,closest_in_state,km,distance from county centroid to closest in-state land grant university,NA,NA,NA
land grant university datasets,university_presence,boolean,presence of land grant university in county,NA,NA,NA
SoilGrids,pct_clay,proportion,average clay content of cultivated land,NA,NA,NA
Schlenker 2009,aet,mm,actual evapotranspiration,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,cwd,mm,climatic water deficit,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,edd,degree days,degree days above 29 deg c,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,ffp,days,length of frost-free period,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,gdd,degree days,degree days between 5 and  29 deg c,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,pet,mm,potential evapotranspiration,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,prec,mm,total precipitation,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,prec1in,days,number of days with more than 1 inch of precipitation,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,prec1pct,days,number of days in the top 1% of local daily precipitation distribution,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,prec2sigma,days,number of days with precipitation exceeding 2 local standard deviations,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmax,deg C,average daily maximum temperature,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmax1pct,days,number of days in the top 1% of local daily maximum temperature distribution,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmax2sigma,days,number of days with maximum temperature exceeding 2 local standard deviations,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmax30c,days,number of days tmax greater than 30 deg c,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmean,deg C,average daily mean temperature,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
Schlenker 2009,tmin,deg C,average daily minimum temperature,"1950-1980, 1982-2011, 1997-2001, 2002-2006, 2007-2011, 2012-2016","full_year, growing_season","mean, z"
YCOM,co2limits,NA,estimated percentage who somewhat/strongly support setting strict limits on existing coal-fire power plants,NA,NA,NA
YCOM,co2limits_oppose,NA,estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,NA,NA,NA
YCOM,consensus,NA,estimated percentage who believe that most scientists think global warming is happening,NA,NA,NA
YCOM,consensus_oppose,NA,estimated percentage who believe there is a lot of disagreement among scientists about whether or not global warming is happening,NA,NA,NA
YCOM,devharm,NA,estimated percentage who think global warming will harm people in developing countries a moderate amount/a great deal,NA,NA,NA
YCOM,devharm_oppose,NA,estimated percentage who think global warming will harm people in developing countries not at all/only a little,NA,NA,NA
YCOM,fundrenewables,NA,estimated percentage who somewhat/strongly support funding research into renewable energy sources,NA,NA,NA
YCOM,fundrenewables_oppose,NA,estimated percentage who somewhat/strongly oppose funding research into renewable energy sources,NA,NA,NA
YCOM,futuregen,NA,estimated percentage who think global warming will harm future generations a moderate amount/a great deal,NA,NA,NA
YCOM,futuregen_oppose,NA,estimated percentage who think global warming will harm future generations not at all/only a little,NA,NA,NA
YCOM,happening,NA,estimated percentage who think that global warming is happening,NA,NA,NA
YCOM,happening_oppose,NA,estimated percentage who do not think that global warming is happening,NA,NA,NA
YCOM,harm_us,NA,estimated percentage who think global warming will harm people in the us a moderate amount/a great deal,NA,NA,NA
YCOM,harm_us_oppose,NA,estimated percentage who think global warming will harm people in the us not at all/only a little,NA,NA,NA
YCOM,human,NA,estimated percentage who think that global warming is caused mostly by human activities,NA,NA,NA
YCOM,human_oppose,NA,estimated percentage who think that global warming is caused mostly by natural changes in the environment,NA,NA,NA
YCOM,personal,NA,estimated percentage who think global warming will harm them personally a moderate amount/a great deal,NA,NA,NA
YCOM,personal_oppose,NA,estimated percentage who think global warming will harm them personally not at all/only a little,NA,NA,NA
YCOM,regulate,NA,estimated percentage who somewhat/strongly support regulating co2 as a pollutant,NA,NA,NA
YCOM,regulate_oppose,NA,estimated percentage who somewhat/strongly oppose regulating co2 as a pollutant,NA,NA,NA
YCOM,support_rps,NA,estimated percentage who somewhat/strongly support requiring utilities to produce 20% electricity from renewable sources,NA,NA,NA
YCOM,support_rps_oppose,NA,estimated percentage who somewhat/strongly oppose requiring utilities to produce 20% electricity from renewable sources,NA,NA,NA
YCOM,timing,NA,estimated percentage who think global warming will start to harm people in the united now/within 10 years,NA,NA,NA
YCOM,timing_oppose,NA,"estimated percentage who think global warming will start to harm people in the united in 25 years or longer, or never",NA,NA,NA
YCOM,total_pop,NA,total population,NA,NA,NA
YCOM,worried,NA,estimated percentage who are somewhat/very worried about global warming,NA,NA,NA
YCOM,worried_oppose,NA,estimated percentage who are not very/not at all worried about global warming,NA,NA,NA
